一	（いち）[Da tradurre]
本	（ほん）[Da tradurre]
一本	（いっぽん）[Da tradurre]
二本	（にほん）[Da tradurre]
三本	（さんぼん）[Da tradurre]
日本	（にほん）[Da tradurre]
人	（ひと）[Da tradurre]
日本人	（にほんじん）[Da tradurre]
ドイツ人	（どいつじん）[Da tradurre]
なに人	（なにじん）[Da tradurre]
今	（いま）[Da tradurre]
今日	（きょう）[Da tradurre]
今月	（こんげつ）[Da tradurre]
お寺	（おてら）[Da tradurre]
刀	（かたな）[Da tradurre]
一人	（ひとり）[Da tradurre]
二人	（ふたり）[Da tradurre]
三人	（さんにん）[Da tradurre]
四人	（よにん）[Da tradurre]
なん人	（なんにん）[Da tradurre]
一時十五分	（いちじじゅうごふん）[Da tradurre]
なん時	（なんじ）[Da tradurre]
なん分	（なんぶん）[Da tradurre]
三時半	（さんじはん）[Da tradurre]
半分	（はんぶん）[Da tradurre]
三分	（さんぶん）[Da tradurre]
十分	（じゅっぷん）[Da tradurre]
分かる	（わかる）[Da tradurre]
上	（うえ）[Da tradurre]
下	（した）[Da tradurre]
上げる	（あげる）[Da tradurre]
下げる	（さげる）[Da tradurre]
中	（なか）[Da tradurre]
外	（そと）[Da tradurre]
右	（みぎ）[Da tradurre]
左	（ひだり）[Da tradurre]
エじょう	（こうじょう）[Da tradurre]
前	（まえ）[Da tradurre]
午前	（ごぜん）[Da tradurre]
午前中	（ごぜんちゅう）[Da tradurre]
後ろ	（うしろ）[Da tradurre]
後	（あと）[Da tradurre]
午後	（ごご）[Da tradurre]
門	（もん）[Da tradurre]
間	（あいだ）[Da tradurre]
時間	（じかん）[Da tradurre]
二時間	（にじかん）[Da tradurre]
なん時間	（なんじかん）[Da tradurre]
東	（ひがし）[Da tradurre]
東口	（ひがしぐち）[Da tradurre]
中東	（ちゅうとう）[Da tradurre]
西	（にし）[Da tradurre]
西口	（にしぐち）[Da tradurre]
南	（みなみ）[Da tradurre]
南口	（みなみぐち）[Da tradurre]
東南アジア	（とうなんあじあ）[Da tradurre]
北	（きた）[Da tradurre]
北口	（きたぐち）[Da tradurre]
東北	（とうほく）[Da tradurre]
田中さん	（たなかさん）[Da tradurre]
力	（ちから）[Da tradurre]
男	（おとこ）[Da tradurre]
女	（おんな）[Da tradurre]
男の子	（おとこのこ）[Da tradurre]
女の子	（おんなのこ）[Da tradurre]
男の人	（おとこのひと）[Da tradurre]
女の人	（おんなのひと）[Da tradurre]
学生	（がくせい）[Da tradurre]
中学生	（ちゅうがくせい）[Da tradurre]
生まれる	（うまれる）[Da tradurre]
生きる	（いきる）[Da tradurre]
先生	（せんせい）[Da tradurre]
先月	（せんげつ）[Da tradurre]
何ですか	（なんですか）[Da tradurre]
何日	（なんにち）[Da tradurre]
何月	（なんがつ）[Da tradurre]
何人	（なんにん）[Da tradurre]
何時	（なんじ）[Da tradurre]
父	（ちち）[Da tradurre]
お父さん	（おとうさん）[Da tradurre]
父の日	（ちちのひ）[Da tradurre]
母	（はは）[Da tradurre]
お母さん	（おかあさん）[Da tradurre]
母の日	（ははのひ）[Da tradurre]
年	（とし）[Da tradurre]
一年	（いちねん）[Da tradurre]
二年	（にねん）[Da tradurre]
四年	（よねん）[Da tradurre]
何年	（なんねん）[Da tradurre]
三年生	（さんねんせい）[Da tradurre]
今年	（ことし）[Da tradurre]
去年	（きょねん）[Da tradurre]
毎年	（まいねん）[Da tradurre]
毎日	（まいにち）[Da tradurre]
毎月	（まいつき）[Da tradurre]
王さま	（おうさま）[Da tradurre]
国	（くに）[Da tradurre]
外国	（がいこく）[Da tradurre]
外国人	（がいこくじん）[Da tradurre]
中国	（ちゅうごく）[Da tradurre]
中国人	（ちゅうごくじん）[Da tradurre]
見る	（みる）[Da tradurre]
見せる	（みせる）[Da tradurre]
見える	（みえる）[Da tradurre]
行く	（いく）[Da tradurre]
米	（こめ）[Da tradurre]
南米	（なんべい）[Da tradurre]
北米	（ほくべい）[Da tradurre]
来る	（くる）[Da tradurre]
来年	（らいねん）[Da tradurre]
来月	（らいげつ）[Da tradurre]
来週	（らいしゅう）[Da tradurre]
良い	（よい）[Da tradurre]
食べる	（たべる）[Da tradurre]
食べもの	（たべもの）[Da tradurre]
飲む	（のむ）[Da tradurre]
飲みもの	（のみもの）[Da tradurre]
会う	（あう）[Da tradurre]
会話	（かいわ）[Da tradurre]
耳	（みみ）[Da tradurre]
聞く	（きく）[Da tradurre]
聞こえる	（きこえる）[Da tradurre]
言う	（いう）[Da tradurre]
話す	（はなす）[Da tradurre]
話	（はなし）[Da tradurre]
立つ	（たつ）[Da tradurre]
待つ	（まつ）[Da tradurre]
周り	（まわり）[Da tradurre]
今週	（こんしゅう）[Da tradurre]
先週	（せんしゅう）[Da tradurre]
毎週	（まいしゅう）[Da tradurre]
一週間	（いっしゅうかん）[Da tradurre]
何週間	（なんしゅうかん）[Da tradurre]
大きい	（おおきい）[Da tradurre]
大学	（だいがく）[Da tradurre]
大学生	（だいがくせい）[Da tradurre]
大人	（おとな）[Da tradurre]
大好きな	（だいすきな）[Da tradurre]
小さい	（ちいさい）[Da tradurre]
小学生	（しょうがくせい）[Da tradurre]
高い	（たかい）[Da tradurre]
安い	（やすい）[Da tradurre]
新しい	（あたらしい）[Da tradurre]
新聞	（しんぶん）[Da tradurre]
古い	（ふるい）[Da tradurre]
元気な	（げんきな）[Da tradurre]
気をつける	（きをつける）[Da tradurre]
多い	（おおい）[Da tradurre]
少ない	（すくない）[Da tradurre]
少し	（すこし）[Da tradurre]
広い	（ひろい）[Da tradurre]
早い	（はやい）[Da tradurre]
早く	（はやく）[Da tradurre]
長い	（ながい）[Da tradurre]
明るい	（あかるい）[Da tradurre]
明日	（あした）[Da tradurre]
好きな	（すきな）[Da tradurre]
友だち	（ともだち）[Da tradurre]
入る	（はいる）[Da tradurre]
入れる	（いれる）[Da tradurre]
入り口	（いりぐち）[Da tradurre]
入学する	（にゅうがくする）[Da tradurre]
出る	（でる）[Da tradurre]
出す	（だす）[Da tradurre]
出かける	（でかける）[Da tradurre]
出口	（でぐち）[Da tradurre]
市長	（しちょう）[Da tradurre]
ボローニャ市	（ボローニャし）[Da tradurre]
町	（まち）[Da tradurre]
村	（むら）[Da tradurre]
雨	（あめ）[Da tradurre]
電気	（でんき）[Da tradurre]
電車	（でんしゃ）[Da tradurre]
電話	（でんわ）[Da tradurre]
車	（くるま）[Da tradurre]
馬	（うま）[Da tradurre]
駅	（えき）[Da tradurre]
会社	（かいしゃ）[Da tradurre]
社長	（しゃちょう）[Da tradurre]
社会	（しゃかい）[Da tradurre]
学校	（がっこう）[Da tradurre]
高校	（こうこう）[Da tradurre]
高校生	（こうこうせい）[Da tradurre]
中学校	（ちゅうがっこう）[Da tradurre]
小学校	（しょうがっこう）[Da tradurre]
校長	（こうちょう）[Da tradurre]
店	（みせ）[Da tradurre]
銀行	（ぎんこう）[Da tradurre]
病気	（びょうき）[Da tradurre]
病院	（びょういん）[Da tradurre]
入院する	（にゅういんする）[Da tradurre]
大学院	（だいがくいん）[Da tradurre]
大学院生	（だいがくいんせい）[Da tradurre]
休む	（やすむ）[Da tradurre]
休み	（やすみ）[Da tradurre]
走る	（はしる）[Da tradurre]
起きる	（おきる）[Da tradurre]
起こす	（おこす）[Da tradurre]
貝	（かい）[Da tradurre]
買う	（かう）[Da tradurre]
買い物	（かいもの）[Da tradurre]
売る	（うる）[Da tradurre]
読む	（よむ）[Da tradurre]
書く	（かく）[Da tradurre]
読書	（どくしょ）[Da tradurre]
じ書	（じしょ）[Da tradurre]
帰る	（かえる）[Da tradurre]
帰国する	（きこくする）[Da tradurre]
勉強する	（べんきょうする）[Da tradurre]
弓	（ゆみ）[Da tradurre]
虫	（むし）[Da tradurre]
強い	（つよい）[Da tradurre]
持つ	（もつ）[Da tradurre]
お金持ち	（おかねもち）[Da tradurre]
気持ち	（きもち）[Da tradurre]
力持ち	（ちからもち）[Da tradurre]
名前	（なまえ）[Da tradurre]
日本語	（にほんご）[Da tradurre]
イタリア語	（イタリアご）[Da tradurre]
外国語	（がいこくご）[Da tradurre]
言語	（げんご）[Da tradurre]
春	（はる）[Da tradurre]
春休み	（はるやすみ）[Da tradurre]
夏	（なつ）[Da tradurre]
夏休み	（なつやすみ）[Da tradurre]
秋	（あき）[Da tradurre]
冬	（ふゆ）[Da tradurre]
冬休み	（ふゆやすみ）[Da tradurre]
朝	（あさ）[Da tradurre]
毎朝	（まいあさ）[Da tradurre]
今朝	（けさ）[Da tradurre]
昼	（ひる）[Da tradurre]
昼休み	（ひるやすみ）[Da tradurre]
昼間	（ひるま）[Da tradurre]
夕方	（ゆうがた）[Da tradurre]
読み方	（よみかた）[Da tradurre]
男の方	（おとこのかた）[Da tradurre]
女の方	（おんなのかた）[Da tradurre]
あの方	（あのかた）[Da tradurre]
晩	（ばん）[Da tradurre]
毎晩	（まいばん）[Da tradurre]
今晩	（こんばん）[Da tradurre]
夜	（よる）[Da tradurre]
今夜	（こんや）[Da tradurre]
夜中	（よなか）[Da tradurre]
心	（こころ）[Da tradurre]
安心する	（あんしんする）[Da tradurre]
手	（て）[Da tradurre]
上手な	（じょうずな）[Da tradurre]
下手な	（へたな）[Da tradurre]
右手	（みぎて）[Da tradurre]
左手	（ひだりて）[Da tradurre]
足	（あし）[Da tradurre]
足りる	（たりる）[Da tradurre]
足す	（たす）[Da tradurre]
体	（からだ）[Da tradurre]
首	（くび）[Da tradurre]
道	（みち）[Da tradurre]
一足	（いっそく）[Da tradurre]
二足	（にそく）[Da tradurre]
三足	（さんぞく）[Da tradurre]
何足	（なんぞく）[Da tradurre]
山	（やま）[Da tradurre]
山田さん	（やまださん）[Da tradurre]
ふじ山	（ふじさん）[Da tradurre]
川	（かわ）[Da tradurre]
小川さん	（おがわさん）[Da tradurre]
林	（はやし）[Da tradurre]
小林さん	（こばやしさん）[Da tradurre]
森	（もり）[Da tradurre]
森田さん	（もりたさん）[Da tradurre]
空	（そら）[Da tradurre]
空気	（くうき）[Da tradurre]
海	（うみ）[Da tradurre]
アドリア海	（アドリアかい）[Da tradurre]
北海道	（ほっかいどう）[Da tradurre]
海外	（かいがい）[Da tradurre]
化学	（かがく）[Da tradurre]
花	（はな）[Da tradurre]
花見	（花み）[Da tradurre]
花火	（はなび）[Da tradurre]
天気	（てんき）[Da tradurre]
天国	（てんごく）[Da tradurre]
赤	（あか）[Da tradurre]
赤ちゃん	（あかちゃん）[Da tradurre]
青	（あお）[Da tradurre]
青空	（あおぞら）[Da tradurre]
白	（しろ）[Da tradurre]
黒	（くろ）[Da tradurre]
白黒	（しろくろ）[Da tradurre]
色	（いろ）[Da tradurre]
何色	（なにいろ）[Da tradurre]
魚	（さかな）[Da tradurre]
犬	（いぬ）[Da tradurre]
子犬	（こいぬ）[Da tradurre]
料理	（りょうり）[Da tradurre]
料金	（りょうきん）[Da tradurre]
反たいする	（はんたいする）[Da tradurre]
ご飯	（ごはん）[Da tradurre]
朝ご飯	（あさごはん）[Da tradurre]
昼ご飯	（ひるごはん）[Da tradurre]
晩ご飯	（ばんごはん）[Da tradurre]
夕飯	（ゆうはん）[Da tradurre]
牛	（うし）[Da tradurre]
牛肉	（ぎゅうにく）[Da tradurre]
豚	（ぶた）[Da tradurre]
豚肉	（ぶたにく）[Da tradurre]
鳥	（とり）[Da tradurre]
小鳥	（ことり）[Da tradurre]
鳥肉	（とりにく）[Da tradurre]
肉	（にく）[Da tradurre]
お茶	（おちゃ）[Da tradurre]
茶色	（ちゃいろ）[Da tradurre]
予やく	（よやく）[Da tradurre]
野菜	（やさい）[Da tradurre]
長野	（ながの）[Da tradurre]
切る	（きる）[Da tradurre]
切手	（きって）[Da tradurre]
大切な	（たいせつな）[Da tradurre]
作る	（つくる）[Da tradurre]
手作り	（てづくり）[Da tradurre]
未来	（みらい）[Da tradurre]
味	（あじ）[Da tradurre]
音	（おと）[Da tradurre]
音楽	（おんがく）[Da tradurre]
楽しい	（たのしい）[Da tradurre]
楽しみ	（たのしみ）[Da tradurre]
歌	（うた）[Da tradurre]
歌う	（うたう）[Da tradurre]
歌手	（かしゅ）[Da tradurre]
自分	（じぶん）[Da tradurre]
自転車	（じてんしゃ）[Da tradurre]
乗る	（のる）[Da tradurre]
写す	（うつす）[Da tradurre]
写真	（しゃしん）[Da tradurre]
真ん中	（まんなか）[Da tradurre]
一台	（いちだい）[Da tradurre]
二台	（にだい）[Da tradurre]
何台	（なんだい）[Da tradurre]
中央	（ちゅうおう）[Da tradurre]
映画	（えいが）[Da tradurre]
羊	（ひつじ）[Da tradurre]
洋服	（ようふく）[Da tradurre]
西洋	（せいよう）[Da tradurre]
東洋	（とうよう）[Da tradurre]
大西洋	（たいせいよう）[Da tradurre]
服	（ふく）[Da tradurre]
着る	（きる）[Da tradurre]
上着	（うわぎ）[Da tradurre]
下着	（したぎ）[Da tradurre]
着く	（つく）[Da tradurre]
家	（いえ）[Da tradurre]
家族	（かぞく）[Da tradurre]
矢	（や）[Da tradurre]
親	（おや）[Da tradurre]
親子	（おやこ）[Da tradurre]
親切な	（しんせつな）[Da tradurre]
兄弟	（きょうだい）[Da tradurre]
姉	（あね）[Da tradurre]
お姉さん	（おねえさん）[Da tradurre]
弟	（おとうと）[Da tradurre]
兄	（あに）[Da tradurre]
お兄さん	（おにいさん）[Da tradurre]
親友	（しんゆう）[Da tradurre]
妹	（いもうと）[Da tradurre]
姉妹	（しまい）[Da tradurre]
私	（わたし）[Da tradurre]
私立大学	（しりつだいがく）[Da tradurre]
夫	（おっと）[Da tradurre]
妻	（つま）[Da tradurre]
夫妻	（ふさい）[Da tradurre]
主人	（しゅじん）[Da tradurre]
住む	（すむ）[Da tradurre]
糸	（いと）[Da tradurre]
氏名	（しめい）[Da tradurre]
紙	（かみ）[Da tradurre]
手紙	（てがみ）[Da tradurre]
